#{"t_start": 1553770301.462264, "env_id": "Snake-v0"}
21.8,380,1715.671141
117.3,346,1720.171899
21.2,46,1722.571232
-9.9,10,1722.641211
10.0,465,1731.363382
53.5,94,1733.97202
10.4,17,1734.096272
-9.6,17,1734.227409
1.3,271,1740.058691
86.4,184,1745.843879
11.2,47,1746.097155
32.8,69,1748.191563
64.4,212,1750.806333
94.9,232,1754.752282
20.2,66,1756.522843
11.4,39,1756.697295
31.3,56,1759.123692
75.6,231,1762.055907
-9.4,11,1762.119024
105.4,384,1768.397058
63.6,130,1770.379967
-8.7,306,1775.849885
42.3,271,1779.709771
117.3,210,1783.299992
64.5,239,1785.661738
74.0,195,1789.154372
11.0,793,1800.649788
-10,1,1800.654288
11.1,44,1802.686554
22.4,218,1805.451166
-10.1,288,1809.59748
73.2,335,1815.120507
10.3,12,1815.169837
11.0,19,1815.252945
85.7,187,1818.776375
106.5,319,1822.785844
86.0,346,1828.694214
76.4,149,1830.846911
-10.2,11,1830.890894
136.7,358,1837.424119
22.1,67,1839.45808
74.5,130,1841.621863
75.1,218,1844.563607
54.1,76,1846.303203
12.4,53,1846.531011
12.1,26,1846.637279
43.0,82,1848.350532
11.8,55,1849.949182
83.6,142,1851.916759
22.2,210,1854.166105
108.5,259,1858.00493
22.3,81,1859.707251
21.9,45,1859.889153
119.1,382,1865.54372
64.5,241,1869.270278
1.3,67,1870.917418
22.3,55,1871.13878
32.7,112,1872.955602
0.5,17,1873.025376
43.8,122,1874.881022
87.4,204,1878.497713
53.3,94,1878.886289
33.5,66,1880.51937
1.9,23,1880.609749
-10,1,1880.613863
42.2,62,1882.235191
51.2,121,1884.089652
115.2,277,1888.097809
0.7,11,1888.143251
97.4,203,1890.74739
77.5,158,1894.85948
-9.3,24,1894.958448
103.4,222,1898.601902
72.2,243,1900.987529
11.1,26,1902.512387
42.6,126,1904.774224
22.6,46,1904.967789
106.6,228,1908.646876
32.8,73,1908.949087
31.1,88,1910.69309
0.3,9,1910.731237
-10.1,8,1910.765558
1.2,38,1910.920383
22.1,35,1912.434915
126.5,231,1916.152857
22.8,64,1916.420425
10.3,366,1922.020425
106.5,291,1925.945241
11.6,59,1927.546409
65.2,152,1929.510745
-10.1,2,1929.519335
116.8,481,1937.032436
106.2,278,1941.057201
1.5,31,1941.185331
0.4,38,1941.340656
11.2,41,1942.901772
52.3,168,1945.055126
0.0,38,1945.253847
0.0,10,1945.302427
22.0,34,1947.567016
43.8,264,1953.011615
62.6,122,1955.233593
12.2,57,1955.493802
74.0,215,1959.699196
42.1,151,1962.01251
21.4,54,1962.273903
105.1,199,1966.443287
33.0,223,1970.689824
82.8,190,1973.289275
1.4,30,1973.431192
94.6,801,1989.041239
-10.6,23,1989.152516
-9.1,144,1991.442837
84.4,102,1993.567655
-10.0,3,1993.580817
106.3,363,2000.052768
63.8,270,2004.518675
1.0,26,2004.657352
1.6,18,2004.739808
32.1,88,2006.734695
44.1,123,2008.902831
53.5,210,2011.508226
105.7,219,2015.715396
149.3,541,2024.632526
-8.8,41,2026.428167
53.9,86,2026.850917
117.5,260,2031.254775
130.8,210,2035.446032
0.1,3,2035.458782
63.7,99,2037.501992
64.7,147,2039.778688
11.0,35,2039.946832
138.6,315,2046.404127
20.8,50,2046.624896
129.5,393,2053.233148
-8.9,18,2053.319111
53.4,107,2055.400141
-10.4,9,2055.447503
148.0,324,2061.771023
43.5,149,2064.053402
41.9,541,2072.893129
10.9,46,2073.119322
32.6,53,2074.942037
10.7,60,2075.220976
-9.6,23,2075.325743
-9.3,16,2076.964116
1.3,29,2077.108199
53.7,86,2077.527344
11.2,83,2079.493344
1.6,42,2079.697195
65.8,88,2081.689254
0.4,28,2081.814951
116.0,249,2086.168917
10.6,11,2086.216136
10.1,26,2087.905856
128.4,224,2090.527259
11.4,109,2092.625745
32.0,187,2096.67778
-10.2,3,2096.692008
62.8,86,2097.096682
84.7,165,2101.038503
21.3,59,2101.333565
12.8,61,2103.213856
-9.6,5,2103.234453
83.5,179,2105.693461
43.3,141,2107.940957
119.8,259,2112.30586
10.9,24,2112.4213
52.6,261,2116.803778
127.4,246,2121.193835
116.9,302,2127.360301
12.1,104,2127.875083
43.0,110,2129.986449
129.7,403,2136.638225
54.1,146,2140.50021
2.2,62,2140.788956
106.5,187,2144.815076
43.2,60,2145.115724
85.5,227,2149.348743
63.8,108,2151.431049
43.6,260,2155.831919
0.8,40,2156.025076
-9.5,14,2156.09282
149.2,406,2162.727272
1.0,18,2162.815955
11.8,77,2164.769614
67.1,193,2167.249938
97.6,457,2175.702887
128.1,195,2179.750557
54.1,116,2180.314842
117.7,246,2184.658598
11.5,50,2186.45252
-10.0,73,2186.807412
54.2,93,2188.80872
33.0,97,2190.872008
107.1,155,2193.173795
129.0,364,2199.743079
0.6,32,2199.900394
42.7,113,2201.919482
21.7,37,2202.08121
43.4,366,2209.629554
119.6,301,2215.850337
178.7,320,2220.632042
0.5,19,2220.737054
127.7,267,2225.190663
12.1,60,2227.054799
1.2,26,2227.181703
11.7,94,2229.234186
31.2,101,2229.728327
86.6,160,2233.733977
85.7,151,2236.042107
41.6,62,2236.343251
96.6,283,2242.531343
21.0,82,2242.912722
42.8,286,2247.520382
22.8,180,2251.537718
106.0,164,2253.913626
63.7,107,2256.049968
65.4,118,2258.196509
72.8,121,2260.404705
108.2,172,2262.788524
116.8,229,2267.09794
-9.7,92,2269.204781
12.0,63,2269.502153
95.5,176,2273.547307
94.1,182,2276.082086
-10.5,14,2276.150552
21.1,47,2276.428099
64.8,138,2280.336594
32.6,87,2280.780105
32.5,76,2282.724758
128.2,242,2287.055976
1.0,12,2287.113536
54.2,105,2289.190169
12.4,59,2289.469751
33.6,87,2291.527014
64.4,110,2293.652495
83.9,169,2296.01362
41.4,58,2296.289228
21.5,39,2298.066787
-9.2,21,2298.168498
21.4,60,2298.454599
-10.2,19,2298.543969
41.9,129,2300.790021
95.3,266,2306.799257
127.6,390,2313.377451
126.5,421,2320.054948
20.3,219,2324.323845
106.2,136,2326.537205
52.2,127,2328.741233
11.5,20,2328.838548
-10.6,25,2328.954732
10.2,23,2329.06583
66.8,94,2331.088391
0.9,41,2331.288131
76.7,156,2333.589249
97.3,172,2337.574816
106.3,151,2339.899155
31.9,62,2340.20345
138.3,248,2344.522848
93.9,132,2346.722319
11.5,38,2348.48715
63.4,100,2350.615952
-9.5,8,2350.651224
105.0,242,2353.361935
105.4,320,2359.910763
221.2,489,2368.753558
21.5,111,2370.940738
21.9,151,2373.323873
161.2,319,2378.022052
137.8,287,2384.178771
-10.6,225,2386.815628
116.5,506,2395.605219
108.2,204,2399.745928
11.6,45,2399.949605
34.4,95,2402.031842
21.1,43,2402.235354
157.5,304,2408.599407
1.3,17,2408.684892
86.0,166,2411.116002
53.8,111,2413.267269
44.4,104,2415.349158
32.5,64,2415.65622
96.3,198,2419.820807
109.6,306,2424.39556
54.1,258,2428.81449
22.5,39,2430.603229
44.6,98,2431.08583
-9.3,12,2431.145436
1.5,27,2432.895052
117.7,358,2437.896683
136.9,458,2446.615487
-9.9,162,2449.036172
104.9,215,2453.263128
96.3,154,2455.601073
65.1,129,2457.809727
21.6,60,2459.685773
0.1,23,2459.799226
-10,1,2459.803593
87.3,259,2464.288953
42.5,93,2466.332682
22.0,48,2466.557239
64.6,92,2468.575073
96.5,490,2475.701013
-9.7,14,2477.395647
2.0,86,2477.823135
126.1,227,2482.133623
104.4,274,2486.600441
85.0,170,2490.682018
85.3,157,2493.048177
22.9,47,2493.310244
-9.8,3,2493.322872
-9.6,29,2493.47603
32.0,129,2495.689138
43.3,141,2498.002162
140.0,357,2505.643967
127.9,213,2510.875582
139.1,264,2515.520285
11.3,58,2515.801444
54.3,332,2522.291577
94.9,404,2529.160301
-10.3,6,2529.189503
95.6,273,2533.773804
139.6,555,2544.595342
-9.6,27,2544.726354
72.8,525,2553.855237
75.6,401,2560.733322
-9.3,8,2560.77399
-9.4,9,2560.814957
-0.8,54,2562.607953
23.1,105,2564.623262
84.0,164,2566.917546
146.3,365,2573.3197
95.6,315,2578.838669
105.3,265,2584.193236
85.5,1195,2608.320459
-9.3,24,2608.436589
44.3,95,2608.907318
204.4,527,2619.408467
95.2,185,2621.861562
1.0,16,2621.945289
21.6,36,2622.122308
159.9,218,2626.465766
97.6,153,2628.827533
148.8,216,2633.124213
1.2,50,2633.363464
34.5,54,2635.279973
-10.6,7,2635.319503
-9.3,18,2635.417696
43.0,102,2637.521738
63.8,220,2641.853193
86.7,231,2644.621514
96.7,176,2648.749377
32.5,66,2649.083721
95.9,202,2654.681496
64.1,155,2657.403768
64.4,198,2661.58638
54.5,184,2664.382138
21.6,54,2664.721686
1.1,51,2667.250896
64.0,262,2672.150333
0.4,114,2674.326533
22.4,38,2674.517811
0.8,14,2674.585991
53.9,152,2676.92881
21.2,42,2678.822953
33.0,159,2681.219742
22.0,62,2681.519092
1.0,12,2683.190588
53.7,194,2685.733693
-9.4,7,2685.766179
65.5,155,2688.149745
203.8,565,2699.023997
137.4,153,2701.409038
96.1,250,2706.588178
10.9,48,2706.816411
11.2,163,2709.436862
-9.7,34,2711.246545
22.5,87,2711.692155
-8.9,18,2713.468082
84.9,269,2718.015422
1.0,30,2718.167033
156.5,334,2724.724185
53.8,139,2727.046495
0.8,22,2727.150656
11.1,44,2727.359009
107.5,431,2735.681434
214.2,460,2745.667476
127.8,238,2750.125998
21.4,50,2750.366424
74.1,96,2752.480157
72.7,218,2757.006406
32.6,83,2757.427727
1.3,21,2759.122935
1.2,18,2759.216036
-10.4,17,2759.301078
22.5,81,2761.294978
0.6,36,2761.480531
42.1,59,2761.794142
1.0,72,2763.629629
20.0,34,2763.780244
32.1,72,2765.61846
-9.1,10,2765.665066
65.1,173,2767.969062
148.2,348,2774.89033
148.2,238,2778.798584
0.5,37,2778.960087
83.7,187,2781.31689
-9.7,16,2782.922556
203.2,307,2787.21803
86.6,246,2791.416741
190.0,396,2798.244902
32.6,73,2800.297186
55.0,97,2800.795271
52.6,79,2803.403618
-9.5,16,2803.487977
21.5,55,2803.737738
116.5,246,2808.319098
127.1,263,2812.365349
106.5,213,2816.084452
149.4,194,2820.039632
141.0,243,2822.42859
53.7,94,2824.150323
33.1,58,2825.836215
108.6,190,2828.09901
85.9,305,2833.484617
86.7,157,2835.494984
63.4,120,2837.352276
-9.8,5,2837.372976
23.1,47,2837.566242
32.7,84,2839.264863
43.2,56,2839.504696
22.3,57,2841.100634
148.6,284,2844.971657
-9.6,31,2845.100934
148.0,374,2850.708609
32.3,430,2856.613363
21.8,58,2858.203951
12.2,31,2858.324768
97.1,196,2861.885988
52.6,115,2863.727713
67.0,164,2865.763442
104.8,322,2869.792752
97.1,224,2873.436094
98.5,252,2877.204049
127.4,312,2881.170339
201.3,288,2886.399278
0.9,27,2886.506735
118.6,279,2890.352247
32.8,57,2891.952682
106.2,364,2897.806549
-10.2,17,2899.228636
128.8,320,2903.24266
0.6,34,2903.380174
150.2,350,2908.867238
44.0,72,2910.520351
0.6,50,2910.722988
0.5,37,2910.869511
21.3,63,2912.493052
-10.3,4,2912.509618
85.1,247,2916.212532
172.6,364,2921.75585
42.9,71,2922.04114810107.9,325,2927.4199479495.9,200,2929.605427
33.9,100,2931.3727311543.8,86,2933.082319453.9,76,2933.386268105.1,207,2935.332581
42.5,101,2937.03575596.6,377,2943.430121
232.9,661,2954.074149
158.2,259,2957.823477
-10,1,2957.827745
32.3,80,2959.521784
64.2,112,2961.366058
117.1,338,2965.430538
127.2,232,2969.126331
-9.6,13,2969.181041
200.2,445,2976.407004
54.8,81,2976.734228
73.4,263,2980.561687
42.7,71,2982.2051
-9.8,3,2982.217741
-9.1,14,2982.274078
-10,1,2982.278532
-9.1,10,296.3,264,2984.060551
66.0,222,29159.4,317,2987.75589
32.4,73,29853.4,129,295.7,142,298198.4,561,2997.301064
75.6,123,2999.158336
150.1,255,3002.898036
54.5,192,3005.025308
86.1,209,3008.602469
77.0,19137.0,725,3016.153805
138.1,228,3019.81656
167.0,396,3025.520667
52.4,117,3027.366811
201.7,582,3036.523393
126.8,328,3040.562645
75.0,149,3042.540964
-0.1,31,3044.031665
1.3,15,3044.098307
137.8,205,3046.324189
53.1,90,3048.07065
117.6,175,3050.130592
148.5,233,3053.77543
0.3,5,3053.795086
117.0,187,3057.297281
146.1,1075,3072.438518
107.7,209,3076.002892
96.7,150,3077.961003
109.1,145,3079.896167
85.5,105,3081.697043
162.6,241,3085.376891
-10,1,3085.381113
10.9,16,3085.445573
20.8,36,3085.593842
-8.7,14,3085.65143
108.3,257,3089.441403
149.2,336,3094.90526
53.3,98,3096.671073
43.1,59,3096.913102
-10.2,25,3097.017614
65.5,189,3100.501836
2.4,26,3100.610126
-9.6,17,3100.679585
0.8,228,3104.332796
119.7,244,3108.049188
-10.4,59,3108.288148
106.4,158,3110.292688
64.8,144,31191.7,445,3117.2,245,3116.043405
32.0,69,3117.713338
137.7,388,3123.358149
31.5,134,3125.248224
-9.4,17,3125.315162
0.3,7,3125.343065
-9.7,4,3125.359237
-9.7,10,3125.73.3,134126.2,206,3128180.2,253,3130.622251
76.5,106,3131.058346
107.8,388,3136.741345
201.6,383,3142.399656
12.4,39,3143.907186
76.8,227,3147.566657
-10.2,9,3147.607133
32.1,84,3147.936123
148.2,242,3151.594129
170.3,257,3155.380149
55.5,210,3158.969594
33.1,84,3159.311179
75.1,110,3161.112624
0.8,36,3162.617347
65.2,86,3162.960305
128.2,224,3166.571179
54.1,110,3168.366423
0.170.0,334,3170.371428
31.7,56,3171.9187.0,3169.6,318,3176.0201.6,295,3179.544118
94.6,1107.8,330,3183.183.1,298,3185.518391
74.7,202,3189.05012
96.4,151,3191.031759
224.3,358,3196.572538
21.4,20,3196.653712
11.3,26,3196.759001
22.4,78,3198.43134
179.8,249,3202.210554
63.2,122,3204.063895
145.9,167,3206.080435
-9.4,31,3206.196224
-9.7,46,3207.753945
73.6,161,3209.810817
51.8,109,3211.607393
-9.8,3,3211.620672
214.2,336,3215.701392
11.5,32,3217.180246
148.6,236,3219.486119
138.3,304,3224.785335
64.9,123,3226.62835
128.4,216,3222.3,415,3230.454243
107.4,166,3232.478136
1.8,22,3232.566776
-9.9,12,3231.3,132,3234.397276
22.2,54,3235.977358
126.5,221,3238.232072
126.5,179,3241.741293
21.4,38,3241.89531
0.7,37,135.8,231,324128.8,214,3245.638801
51.9,98,3247.401717
85.9,321,3251.393128
73.4,91,3253.1057
1.1,23,3253.31.8,67137.5,224,3256.89678
105.6,134,3258.816445
93.2,137,3260.735013
139.1,212,3264.321992
74.2,243,3268.050201
149.4,234,3270.366951
83.2,90,3272.097253
86.6,138,3274.062514
83.1,227,3277.665043
22.6,32,3277.797662
22.5,77,3279.464289
87.3,135,3281.37561
186.2,321,3285.348134
167.8,224,3288.941031
94.9,134,3290.863559
253.0,374,3296.439521
42.3,55,3298.019507
33.3,102,3298.428427
157.9,390,3304.036581
32.2,83,3305.732675
118.6,219,3309.341343
151.0,264,3313.097036
97.7,248,3316.801257
170.0,322,3320.80571
22.1,43,3322.344548
33.8,107,3322.786339
31.8,133,3326.03529
43.4,76,3326.346894
105.1,191,3329.848061
159.1,218,3332.093235
94.4,157,3335.474825
96.8,123,3335.988646
22.6,64,3337.664776
54.6,83,3339.380592
86.0,170,3341.419582
116.0,875,3354.558772
137.2,351,3360.034751
150.3,333,3364.189198
140.0,209,3367.840778
97.9,168,3369.95028
10.9,32,3370.083316
12.2,25,3371.535967
74.9,270,3375.662895
104.7,279,3380.008782
146.8,304,3384.109908
-9.3,22,3384.233768
128.6,244,3391.751743
53.6,87,3394.221736
160.5,528,3405.35284
140.2,361,3411.534516
169.3,375,3418.788257
117.8,153,3421.631121
63.8,200,3425.592473
10.4,49,3425.881146
45.2,66,3426.161492
23.2,40,3427.772241
86.8,162,3429.815051
-10.2,75,3431.479234
147.2,448,3437.506404
0.4,32,3437.641129
-9.0,245,3441.37694
-10.0,3,3441.389369
-9.5,8,3441.42177
63.9,195,3445.011261
0.9,27,3445.129638
-10.2,3,3445.141958
172.8,336,3451.035053
-9.6,15,3451.104289
119.1,306,3456.18785
117.4,201,3459.846635
98.0,175,3461.953338
63.1,261,3465.779486
1.7,29,3465.897534
43.2,68,3467.542605
-10,1,3467.547027
21.3,95,3469.294736
108.3,279,3473.137953
-10.6,23,3473.229511
222.1,376,3478.810767
-10.1,2,3478.820584
-10,1,3478.82595
129.6,204,3482.506422
31.7,106,3485.192198
0.4,28,3485.352198
128.2,180,3488.222491
75.7,248,3492.331873
56.0,107,3494.220915
-9.8,13,3494.273614
158.7,236,3498.946088
42.4,68,3499.390065
138.0,281,3506.248056
181.4,247,3510.227776
75.9,166,3512.871051
86.9,199,3515.714747
170.6,310,3521.95992
64.8,94,3523.779604
42.6,86,3524.131654
66.2,176,3527.862756
108.1,185,3530.187156
20.9,17,3530.258466
-9.8,3,3530.271579
76.8,173,3534.079165
21.4,66,3534.379512
128.1,289,3538.326913
41.6,50,3540.164579
21.6,38,3540.356622
53.3,342,3546.377801
179.0,265,3550.760151
1.3,15,3550.821502
158.1,352,3556.680623
32.9,44,3556.878317
149.5,263,3561.132913
204.2,359,3566.869159
92.8,161,3568.887284
10.3,68,3570.516814
11.3,42,3570.683075
125.1,177,3572.752607
2.1,49,3574.31538
106.5,145,3576.327421
62.6,126,3578.189645
1.2,42,3578.358211
93.8,125,3580.22682
117.7,180,3583.778617
0.3,5,3583.80099
86.6,132,3585.827678
54.6,77,3586.157882
21.8,72,3587.987021
135.8,237,3591.995885
0,2,3592.004545
126.2,226,3594.510375
170.6,162,3598.151294
64.7,123,3600.058548
20.8,62,3600.321214
21.1,41,3600.49976
0.3,43,3602.222298
83.6,128,3604.2109
117.6,141,3606.23027
169.0,312,3610.786132
76.3,160,3614.466031
33.4,69,3614.765885
107.0,154,3617.293328
-10.2,3,3617.313581
117.8,201,3621.394044
-9.5,14,3621.451312
23.3,45,3621.649203
191.0,392,3627.405708
171.8,522,3635.669883
64.1,103,3637.675343
-10.2,133,3639.693963
10.1,58,3641.637997
-9.7,10,3641.678894
160.7,462,3647.842956
73.6,129,3650.173098
208.3,553,3662.283504
128.3,223,3666.050996
108.0,146,3668.036096
200.9,426,3673.960263
33.5,278,3677.930367
235.2,454,3685.698484
64.8,90,3686.130517
11.4,17,3687.683098
135.1,190,3690.02649
32.1,74,3691.765716
21.1,57,3692.007131
63.0,126,3694.212487
149.8,234,3698.739921
83.0,154,3700.767385
97.3,274,3704.906789
105.2,178,3708.528481
96.4,175,3710.627283
42.2,92,3712.463805
74.2,131,3714.503653
2.0,42,3714.69159
74.8,135,3716.67274
116.6,159,3718.692818
108.3,211,3722.713031
0.7,9,3722.75027
43.8,78,3724.448992
93.3,156,3726.568631
43.4,88,3728.443756
221.0,435,3734.686531
149.7,249,3738.764588
53.9,92,3740.65123
168.9,397,3746.663446
42.3,169,3748.738577
54.6,107,3750.747134
23.0,80,3752.519296
169.7,235,3754.914954
224.1,370,3760.521122
117.0,185,3763.997977
116.4,227,3766.392985
11.9,64,3768.09764
53.1,166,3770.187707
128.7,203,3773.927401
188.1,333,3778.54355
11.2,39,3780.668514
191.9,399,3788.332958
95.9,144,3790.468733
75.0,81,3792.224116
96.6,123,3794.267973
32.0,59,3794.536812
43.0,68,3796.194771
73.7,158,3798.232291
32.2,91,3799.967393
114.9,230,3802.286337
64.1,75,3803.96917
44.1,275,3807.961528
12.0,89,3809.824208
137.7,242,3813.685097
104.3,143,3815.788001
1.1,39,3815.955125
130.6,258,3819.873692
42.7,67,3821.5745
116.3,156,3823.675161
73.2,95,3825.434692
84.9,111,3825.924675
73.7,364,3831.609143
179.7,304,3837.110267
85.1,131,3839.112612
-9.6,5,3839.141289
147.1,275,3843.076484
21.2,90,3844.877919
169.2,306,3848.942616
-8.8,21,3849.032426
1.2,22,3849.125366
74.8,149,3851.321594
67.1,131,3853.615395
127.5,167,3857.059381
-9.8,51,3857.275471
-10.5,38,3857.433236
180.5,488,3865.173525
22.4,74,3866.896493
200.1,314,3870.991847
1.1,43,3872.577307
75.9,154,3874.67873
137.6,231,3878.435988
212.3,383,3884.270977
41.9,95,3884.680831
166.4,214,3888.420074
160.8,279,3892.42713
105.5,139,3894.50314
41.8,56,3896.149154
139.4,209,3898.511506
136.2,171,3902.101689
161.8,331,3906.325291
150.3,343,3912.014675
242.1,306,3916.058458
22.8,70,3917.758307
-10,1,3917.762779
202.3,394,3923.752179
193.1,435,3929.812945
11.9,200,3933.429746
158.7,232,3937.190702
11.3,30,3937.312793
66.0,224,3940.961902
0.7,65,3941.226879
0.8,66,3942.881698
125.9,259,3946.787512
201.6,299,3950.861381
223.2,557,3960.237602
107.2,288,3964.36683
3917.932793
235.9,365,3923.791452
170.4,306,3929.266867
52.4,125,3931.229704
42.4,102,3931.6619
64.1,167,3935.138188
22.3,67,3935.413777
1.5,21,3935.509529
116.2,195,3939.080768
136.8,547,3946.912823
0.4,24,3947.015418
33.3,124,3948.946829
34.1,52,3950.551213
87.6,158,3952.682505
-9.5,6,3952.710526
1.4,28,3952.8433
-9.7,46,3954.436038
116.8,213,3956.746457
53.8,129,3958.678447
192.4,334,3964.361955
11.0,59,3964.610744
8,3884.300469
116.2,177,3886.449234
66.3,113,3888.370199
11.6,21,3888.461892
148.4,270,3892.427304
95.2,125,3894.442505
86.0,200,3898.175117
179.0,309,3902.350681
84.5,141,3904.375594
137.7,340,3910.029688
147.3,221,3913.776099
190.2,428,3919.782724
53.5,100,3921.624244
126.8,264,3925.610927
32.6,157,3927.659179
137.0,309,3933.177428
9.8,31,3933.309215
62.6,108,3935.151761
52.2,77,3935.474509
95.1,184,3939.001285
82.5,141,3940.936988
-9.1,12,3940.986159
31.5,290,3944.979236
40.6,132,3946.954196
149.9,293,3950.996325
201.7,362,3956.801631
11.1,102,3958.622582
11.5,48,3958.819294
44.4,138,3962.196835
96.2,169,3964.393866
-10.0,19,3964.475788
108,3874.674199
42.6,104,3876.501408
151.0,246,3880.330392
0.9,17,3880.408715
95.1,124,3882.339491
77.1,190,3884.559235
64.9,119,3886.452766
10.7,16,3886.523537
63.8,162,3890.061588
96.6,139,3892.059473
158.6,225,3894.503434
42.5,111,3896.413199
32.3,92,3898.245292
23.1,75,3900.011609
42.8,124,3900.542685
63.5,157,3904.041344
146.6,198,3906.28334
43.8,168,3909.806885
106.5,169,3911.941672
44.2,96,3913.746548
33.2,57,3913.988118
128.5,269,3917.891131
0.2,48,3919.494235
193.0,372,3923.98634
31.7,86,3925.751719
0.6,134,3927.699332
53.5,96,3929.511203
158.7,228,3933.283494
53.6,215,3935.583872
43.4,150,3938.954543
-9.4,9,3938.99434
0.8,84,3939.347779
159.5,348,3944.925958
33.1,66,3946.622043
226.1,412,3952.610687
21.6,34,3952.768896
54.7,116,3954.681118
105.8,176,3956.822088
74.8,149,3958.836096
66.5,257,3962.763019
